album_name,listeners,playcount,total_tracks,avg_duration_sec,raw_tags,tag_instrumental,tag_orchestral,tag_electronic,tag_ambient,tag_dark,tag_acoustic,tag_epic,tag_relaxing,n_tags,title,metascore,genres,releaseDate,release_year,score_category,is_high_score,log_listeners
Jet Set Radio Original Soundtrack,677,10877,,,soundtrack|urban|video game,0,0,0,0,0,0,0,0,3,Jet Set Radio (2000),94.0,3D Platformer,2000-10-30,2000.0,Universal (90+),1,6.519147287940395
Halo 3 (Original Soundtrack),45717,560098,,,,0,0,0,0,0,0,0,0,0,Halo 3,94.0,FPS,2007-09-25,2007.0,Universal (90+),1,10.730247372419994
Resident Evil Code - Veronica Original Soundtrack,32,2881,,,,0,0,0,0,0,0,0,0,0,Resident Evil Code: Veronica,94.0,Survival,2000-03-28,2000.0,Universal (90+),1,3.4965075614664802
Chaos Theory (Soundtrack To Tom Clancy's Splinter Cell 3: Chaos Theory),21140,52808,,,electronic|experimental|electronica|trip-hop|drum and bass,0,0,1,0,0,0,0,0,5,Tom Clancy's Splinter Cell: Chaos Theory,94.0,Action Adventure,2005-03-28,2005.0,Universal (90+),1,9.958969561995133
God of War Ragnarök (Original Soundtrack),165907,2384940,28.0,264.1,video game soundtrack|videogame soundtrack,0,1,0,0,0,0,0,0,2,God of War: Ragnarok,94.0,Action Adventure,2022-11-09,2022.0,Universal (90+),1,12.019188696836276
Metal Gear Solid Δ: Snake Eater (Original Soundtrack),7096,51583,7.0,166.7,,0,0,0,0,0,0,0,0,0,Metal Gear Solid 3: Subsistence,94.0,Action Adventure,2006-03-14,2006.0,Universal (90+),1,8.867427438524983
God of War (2005) (Original Soundtrack from the Video Game),3153,26024,31.0,116.0,,0,0,0,0,0,0,0,0,0,God of War (2005),94.0,Linear Action Adventure,2005-03-22,2005.0,Universal (90+),1,8.056426767522984
Diablo (Original Soundtrack Album),2114,7123,21.0,157.2,scare the kids|psychedelique|spell talk|pop|indie,0,0,0,0,0,0,0,0,5,Diablo,94.0,Action RPG,1996-12-31,1996.0,Universal (90+),1,7.656810091480378
Call of Duty: Modern Warfare 2 Original Soundtrack,13,1672,,,,0,0,0,0,0,0,0,0,0,Call of Duty: Modern Warfare 2,94.0,FPS,2009-11-10,2009.0,Universal (90+),1,2.6390573296152584
Metal Gear Solid 4: Guns of the Patriots Original Soundtrack,6094,133509,,,,0,0,0,0,0,0,0,0,0,Metal Gear Solid 4: Guns of the Patriots,94.0,Action Adventure,2008-06-12,2008.0,Universal (90+),1,8.715224041915372
The Last of Us Part II (Original Soundtrack),116179,3916697,,,soundtrack|video game soundtrack|xxx|score|2020s,0,1,0,0,0,0,0,0,5,The Last of Us Part II,93.0,Survival,2020-06-19,2020.0,Universal (90+),1,11.662895991546524
Star Wars: Knights of the Old Republic (Original Soundtrack),8,333,,,,0,0,0,0,0,0,0,0,0,Star Wars: Knights of the Old Republic,94.0,Western RPG,2003-07-17,2003.0,Universal (90+),1,2.1972245773362196
Grand Theft Auto Online: Arena War (Official Soundtrack),23054,268957,9.0,155.3,experimental|noise rock|electronic|instrumental|noise,1,0,1,0,0,0,0,0,5,Grand Theft Auto: Chinatown Wars,93.0,Open-World Action,2009-03-17,2009.0,Universal (90+),1,10.045637944640806
Half-Life: Alyx (Official Game Soundtrack),1562,80738,72.0,197.5,,0,0,0,0,0,0,0,0,0,Half-Life: Alyx,93.0,FPS,2020-03-23,2020.0,Universal (90+),1,7.354362330421477
Tom Clancy's Splinter Cell Conviction (Original Game Soundtrack),2103,16901,16.0,197.1,soundtrack|video game soundtrack|videogame soundtrack|contemporary classical|video game music,0,1,1,0,0,0,0,0,5,Tom Clancy's Splinter Cell: Pandora Tomorrow,93.0,Action Adventure,2004-03-23,2004.0,Universal (90+),1,7.651595573857601
Divinity: Original Sin II Original Soundtrack,149,12907,,,,0,0,0,0,0,0,0,0,0,Divinity: Original Sin II,93.0,Western RPG,2017-09-14,2017.0,Universal (90+),1,5.0106352940962555
Super Mario 3D World Original Soundtrack,278,18538,,,,0,0,0,0,0,0,0,0,0,Super Mario 3D World,93.0,3D Platformer,2013-11-22,2013.0,Universal (90+),1,5.631211781821365
Minecraft Original Soundtrack,13,219,,,,0,0,0,0,0,0,0,0,0,Minecraft,93.0,Sandbox,2011-11-18,2011.0,Universal (90+),1,2.6390573296152584
Persona 4 Golden Original Soundtrack,306,7632,,,,0,0,0,0,0,0,0,0,0,Persona 4 Golden,93.0,JRPG,2012-11-20,2012.0,Universal (90+),1,5.726847747587197
Unreal Tournament 2004 Original Soundtrack,4,226,,,,0,0,0,0,0,0,0,0,0,Unreal Tournament 2004,93.0,FPS,2004-03-16,2004.0,Universal (90+),1,1.6094379124341003
God of War II Original Soundtrack,78,2152,,,,0,0,0,0,0,0,0,0,0,God of War II,93.0,Linear Action Adventure,2007-03-13,2007.0,Universal (90+),1,4.3694478524670215
Braid Original Soundtrack,435,1911,,,,0,0,0,0,0,0,0,0,0,Braid,93.0,2D Platformer,2008-08-06,2008.0,Universal (90+),1,6.077642243349034
Persona 5 Original Soundtrack,1523,236446,,,rock|japanese|video game music|acid jazz,0,0,1,0,0,0,0,0,4,Persona 5,93.0,JRPG,2017-04-04,2017.0,Universal (90+),1,7.329093736246592
Indie Arena Booth (Original Soundtrack 2022),3373,6306,3.0,148.3,,0,0,0,0,0,0,0,0,0,Quake III Arena,93.0,FPS,2000-10-22,2000.0,Universal (90+),1,8.123854263105914
Tom Clancy's Splinter Cell Conviction (Original Game Soundtrack),2103,16901,16.0,197.1,soundtrack|video game soundtrack|videogame soundtrack|contemporary classical|video game music,0,1,1,0,0,0,0,0,5,Tom Clancy's Splinter Cell,93.0,Action Adventure,2002-11-17,2002.0,Universal (90+),1,7.651595573857601
Okami Original Soundtrack,108,5669,,,,0,0,0,0,0,0,0,0,0,Okami,93.0,Action Adventure,2006-09-19,2006.0,Universal (90+),1,4.6913478822291435
Fallout 3 Original Soundtrack,19,2276,,,,0,0,0,0,0,0,0,0,0,Fallout 3,93.0,Western RPG,2008-10-28,2008.0,Universal (90+),1,2.995732273553991
Skies of Arcadia Original Soundtrack (vol.1),1876,35732,,,,0,0,0,0,0,0,0,0,0,Skies of Arcadia,93.0,JRPG,2000-11-13,2000.0,Universal (90+),1,7.537430036586509
Metal Gear Solid V: The Phantom Pain [Original Soundtrack],49,1226,,,,0,0,0,0,0,0,0,0,0,Metal Gear Solid V: The Phantom Pain,93.0,Open-World Action,2015-09-01,2015.0,Universal (90+),1,3.912023005428146
